id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
57,,Litschau,48.95464,15.03831,557.6,1983-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
58,,Lutzmannsburg,47.46528,16.64556,200.8,1995-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
59,,Mariazell/St.Sebastian Flugfeld,47.78917,15.30222,864.0,2001-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
60,,Mattsee,47.97722,13.10556,502.0,1985-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
61,,Mayrhofen,47.1625,11.85139,640.0,1992-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
62,,Millstatt,46.80806,13.57278,721.0,1982-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
63,,Mönichkirchen,47.51111,16.03333,991.0,1983-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
64,,Neumarkt,47.06972,14.42472,869.0,1993-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
65,,Neusiedl am See,47.94917,16.82889,117.0,1984-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
66,,Obergurgl,46.86694,11.02444,1941.0,1999-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
67,,Leiser Berge,48.55889,16.37167,456.5,1998-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
68,,Obertauern,47.24889,13.55972,1772.0,1984-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
69,,Obervellach,46.93528,13.19444,688.0,1986-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
70,,Poysdorf-Ost,48.66917,16.6375,198.0,1992-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
71,,Preitenegg,46.938333,14.920278,1059.0,1994-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
72,,Puchberg am Schneeberg,47.79028,15.90694,582.8,1983-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
73,,Radstadt-Tandalier,47.38,13.44083,835.0,1995-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
75,,Ranshofen Braunau,48.22417,13.02833,382.0,1994-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
76,,Reutte,47.49444,10.71528,841.8,1994-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
77,,Rohrbach,48.56722,14.00444,613.0,1994-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
78,,Rauris,47.22353,12.99262,933.8,1993-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
80,,Reichenau an der Rax,47.69972,15.83694,488.0,1983-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
81,,Retz Windmühle,48.76111,15.94167,320.0,1994-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
